DATE,CORESTICKM159SFRBATL
2015-12-01,2.4436874
2016-01-01,2.4667222
2016-02-01,2.5442092
2016-03-01,2.531878
2016-04-01,2.537996
2016-05-01,2.5711572
2016-06-01,2.5689022
2016-07-01,2.5758512
2016-08-01,2.7228064
2016-09-01,2.6321032
2016-10-01,2.5095184
2016-11-01,2.5258013
2016-12-01,2.594944
2017-01-01,2.661562
2017-02-01,2.67446
2017-03-01,2.453344
2017-04-01,2.25217
2017-05-01,2.155911
2017-06-01,2.13853
2017-07-01,2.146769
2017-08-01,2.089832
2017-09-01,2.106697
2017-10-01,2.192819
2017-11-01,2.115031
2017-12-01,2.125472
2018-01-01,2.166829
2018-02-01,2.129934
2018-03-01,2.359611
2018-04-01,2.492147
2018-05-01,2.544964
2018-06-01,2.558656
2018-07-01,2.531541
2018-08-01,2.430733
2018-09-01,2.475069
2018-10-01,2.419846
2018-11-01,2.472599
2018-12-01,2.448984
2019-01-01,2.378344
2019-02-01,2.373979
2019-03-01,2.393918
2019-04-01,2.410959
2019-05-01,2.39962
2019-06-01,2.431727
2019-07-01,2.467932
2019-08-01,2.633395
2019-09-01,2.616559
2019-10-01,2.7342
2019-11-01,2.760463
2019-12-01,2.724503
2020-01-01,2.788599
2020-02-01,2.812655
2020-03-01,2.641068
2020-04-01,2.233555
2020-05-01,2.085757
2020-06-01,2.064379
2020-07-01,2.350691
2020-08-01,2.297196
2020-09-01,2.088195
2020-10-01,1.848308
2020-11-01,1.786708
2020-12-01,1.694452
2021-01-01,1.504532
2021-02-01,1.520784
2021-03-01,1.694673
2021-04-01,2.284027
2021-05-01,2.623896
2021-06-01,2.604632
2021-07-01,2.325734
2021-08-01,2.353165
2021-09-01,2.649506
2021-10-01,3.04294
2021-11-01,3.205069
2021-12-01,3.467011
2022-01-01,3.982987642
2022-02-01,4.297857761
2022-03-01,4.551814556
2022-04-01,4.723537922
2022-05-01,4.975575447
2022-06-01,5.425963402
2022-07-01,5.629465103
